"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,180,153,147,162,166
Admitidas (presentadas en el centro),92,100,106,86,104
Admitidas (presentadas en otro centro),0,6,1,2,7
No admitidas (presentadas en el centro),96,47,40,74,53
