"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,199,157,167,197,191
Admitidas,182,116,148,146,131
No admitidas,17,41,19,51,60
