"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,153,137,124,112,157
Admitidas,146,115,112,104,134
No admitidas,7,22,12,8,23
