"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,8,9,9,8,13
Admitidas,6,4,5,2,0
No admitidas,2,5,4,6,13
