"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,57,65
Admitidas (presentadas en el centro),36,30
Admitidas (presentadas en otro centro),1,2
No admitidas (presentadas en el centro),20,32
