"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,44,46,21,46,52
Admitidas,38,38,21,44,42
No admitidas,6,8,0,2,10
