"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,7,2,3,22,25
Admitidas,4,1,0,7,2
No admitidas,3,1,3,15,23
