"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,9,9,16,18,15
Admitidas,3,7,3,9,8
No admitidas,6,2,13,9,7
