"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,6,6,13,9
Admitidas,6,4,6,8
No admitidas,0,2,7,1
