"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,60,65,51,63,61
Admitidas (presentadas en el centro),59,64,50,57,60
Admitidas (presentadas en otro centro),0,0,1,0,0
No admitidas (presentadas en el centro),1,1,0,6,1
