"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,58,56,48,55,67
Admitidas,56,47,47,52,54
No admitidas,2,9,1,3,13
