"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,61,69
Admitidas (presentadas en el centro),36,37
Admitidas (presentadas en otro centro),4,3
No admitidas (presentadas en el centro),21,27
