"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,109,82,66,127,98
Admitidas,90,65,53,106,92
No admitidas,19,17,13,21,6
