"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,61,66,47
Admitidas (presentadas en el centro),36,35,33
Admitidas (presentadas en otro centro),0,2,1
No admitidas (presentadas en el centro),25,29,13
