"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,77,81,87
Admitidas (presentadas en el centro),37,41,55
Admitidas (presentadas en otro centro),1,1,2
No admitidas (presentadas en el centro),39,38,30
