"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,5,5,8,21
Admitidas,4,4,3,13
No admitidas,1,1,5,8
