"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,98,135,115,118,118
Admitidas (presentadas en el centro),78,98,98,97,95
Admitidas (presentadas en otro centro),0,8,5,6,4
No admitidas (presentadas en el centro),22,29,12,15,19
