"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,56,77,70,76,43
Admitidas,51,35,41,37,33
No admitidas,5,42,29,39,10
