"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,32,66,68
Admitidas (presentadas en el centro),27,34,43
Admitidas (presentadas en otro centro),0,1,1
No admitidas (presentadas en el centro),5,31,24
