"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,170,169,156,149,156
Admitidas (presentadas en el centro),126,145,142,132,136
Admitidas (presentadas en otro centro),0,4,4,4,3
No admitidas (presentadas en el centro),45,20,10,13,17
