"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,162,131,129,123,129
Admitidas (presentadas en el centro),96,85,91,77,85
Admitidas (presentadas en otro centro),0,5,4,7,6
No admitidas (presentadas en el centro),66,41,32,37,35
