"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,67,54,66
Admitidas (presentadas en el centro),36,29,40
Admitidas (presentadas en otro centro),2,2,1
No admitidas (presentadas en el centro),29,23,25
