"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,183,169,145,155,143
Admitidas,139,139,126,129,117
No admitidas,44,30,19,26,26
