"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,77,47,90,108,100
Admitidas,69,40,53,57,61
No admitidas,8,7,37,51,39
