"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,47,38,38,46,29
Admitidas (presentadas en el centro),21,35,36,40,25
Admitidas (presentadas en otro centro),0,0,1,0,2
No admitidas (presentadas en el centro),27,3,1,6,2
