"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,91,89,89,68,67
Admitidas,90,68,84,68,60
No admitidas,1,21,5,0,7
