"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,8,32,33,22,22
Admitidas,1,12,7,6,3
No admitidas,7,20,26,16,19
