"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,38,64,71
Admitidas (presentadas en el centro),16,37,34
Admitidas (presentadas en otro centro),0,1,1
No admitidas (presentadas en el centro),22,26,36
