"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,149,137,137,151,149
Admitidas,133,108,129,148,123
No admitidas,16,29,8,3,26
