"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023
Presentadas en el centro,41,38,18
Admitidas (presentadas en el centro),27,35,14
Admitidas (presentadas en otro centro),0,2,3
No admitidas (presentadas en el centro),15,1,1
