"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,23,92
Admitidas (presentadas en el centro),18,74
Admitidas (presentadas en otro centro),2,2
No admitidas (presentadas en el centro),3,13
