"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,3,13,28,19,16
Admitidas,0,0,2,0,0
No admitidas,3,13,26,19,16
