"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024
Presentadas,4,10,5,6
Admitidas,4,9,5,6
No admitidas,0,1,0,0
