"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,67,113
Admitidas (presentadas en el centro),35,35
Admitidas (presentadas en otro centro),2,6
No admitidas (presentadas en el centro),30,68
