"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,78,71,76,60,62
Admitidas (presentadas en el centro),54,56,57,52,52
Admitidas (presentadas en otro centro),0,0,4,4,4
No admitidas (presentadas en el centro),24,15,15,3,4
