"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,155,150,175,188,158
Admitidas,141,126,137,115,142
No admitidas,14,24,38,73,16
