"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,3,9,9,9,13
Admitidas,1,5,3,3,5
No admitidas,2,4,6,6,8
