"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,17,0,7,16,22
Admitidas,17,0,6,12,14
No admitidas,0,0,1,4,8
