"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,134,175,148,162,153
Admitidas (presentadas en el centro),67,65,74,75,97
Admitidas (presentadas en otro centro),0,2,3,5,12
No admitidas (presentadas en el centro),68,108,70,81,44
