"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,9,7,17,8,20
Admitidas,7,2,0,0,2
No admitidas,2,5,17,8,18
