"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,21,13,13,6,8
Admitidas,9,12,6,4,5
No admitidas,12,1,7,2,3
