"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,125,111,132,157,165
Admitidas (presentadas en el centro),101,99,108,103,103
Admitidas (presentadas en otro centro),0,9,5,8,7
No admitidas (presentadas en el centro),26,3,17,46,51
