"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,104,100,143,133,103
Admitidas,94,76,87,91,71
No admitidas,10,24,56,42,32
