"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,149,123,168
Admitidas (presentadas en el centro),32,34,34
Admitidas (presentadas en otro centro),1,2,4
No admitidas (presentadas en el centro),116,87,130
