"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,33,44,47
Admitidas (presentadas en el centro),22,33,36
Admitidas (presentadas en otro centro),0,2,0
No admitidas (presentadas en el centro),11,9,11
