"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,125,148,153,155,171
Admitidas (presentadas en el centro),97,111,114,96,112
Admitidas (presentadas en otro centro),0,3,3,1,4
No admitidas (presentadas en el centro),31,34,36,58,55
