"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,70,53,55,52,36
Admitidas,50,45,41,44,30
No admitidas,20,8,14,8,6
