"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,173,158,152,141,123
Admitidas (presentadas en el centro),132,137,129,129,109
Admitidas (presentadas en otro centro),0,6,4,2,2
No admitidas (presentadas en el centro),43,15,19,10,12
