"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,275,301,295,315,280
Admitidas,181,173,168,165,144
No admitidas,94,128,127,150,136
