"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,14,14,13,7,12
Admitidas (presentadas en el centro),8,12,11,7,11
Admitidas (presentadas en otro centro),0,1,0,0,0
No admitidas (presentadas en el centro),6,1,2,0,1
