"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,207,157,148,108,89
Admitidas,190,126,111,82,62
No admitidas,17,31,37,26,27
