"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024
Presentadas,13,18,13,12
Admitidas,12,8,13,3
No admitidas,1,10,0,9
