"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,67,28,57,63,99
Admitidas,48,20,37,56,78
No admitidas,19,8,20,7,21
