"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,95,82,100,113,75
Admitidas,75,75,62,62,57
No admitidas,20,7,38,51,18
