"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,73,81,92,85,83
Admitidas,64,65,86,70,80
No admitidas,9,16,6,15,3
