"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,38,45,44,56,46
Admitidas,36,38,43,55,42
No admitidas,2,7,1,1,4
