"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,80,85,74,69,82
Admitidas,76,73,60,60,59
No admitidas,4,12,14,9,23
