"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,8,13,12,20,12
Admitidas,6,6,6,5,6
No admitidas,2,7,6,15,6
