"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,118,117,96,115,101
Admitidas,117,109,91,109,98
No admitidas,1,8,5,6,3
