"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,6,0,4,2
Admitidas,3,0,4,2
No admitidas,3,0,0,0
