"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,50,53,42,36,40
Admitidas,46,48,41,34,31
No admitidas,4,5,1,2,9
