"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,50,52,56
Admitidas (presentadas en el centro),19,33,35
Admitidas (presentadas en otro centro),1,2,2
No admitidas (presentadas en el centro),30,17,18
