"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,48,22,55,36,36
Admitidas,23,15,28,34,19
No admitidas,25,7,27,2,17
