"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,151,211,238,209,195
Admitidas,127,108,113,106,115
No admitidas,24,103,125,103,80
